key,total,db_present,match_any_candidate,mismatch,db_missing,constructor_can_generate,constructor_empty
angelone:BFO:FUT,625,625,12,613,0,0,0
angelone:BFO:OPT,57108,55994,5802,50192,1114,1114,0
angelone:NFO:FUT,1518,1297,1291,6,221,221,0
angelone:NFO:OPT,171781,79672,77190,2482,92109,92109,0
fyers:BFO:FUT,625,57,0,57,568,568,0
fyers:BFO:OPT,57108,14292,0,14292,42816,42816,0
fyers:NFO:FUT,1518,1279,0,1279,239,239,0
fyers:NFO:OPT,171781,132265,0,132265,39516,39516,0
groww:BFO:FUT,625,15,0,15,610,610,0
groww:BFO:OPT,57108,10744,0,10744,46364,46364,0
groww:NFO:FUT,1518,1090,0,1090,428,428,0
groww:NFO:OPT,171781,128287,0,128287,43494,43494,0
kite:BFO:FUT,625,625,625,0,0,0,0
kite:BFO:OPT,57108,57108,57108,0,0,0,0
kite:NFO:FUT,1518,1518,1518,0,0,0,0
kite:NFO:OPT,171781,171781,171781,0,0,0,0
shoonya:BFO:FUT,625,625,12,613,0,0,0
shoonya:BFO:OPT,57108,55994,5802,50192,1114,1114,0
shoonya:NFO:FUT,1518,1297,1291,6,221,221,0
shoonya:NFO:OPT,171781,132265,128455,3810,39516,39516,0
